CRI,REE,1,3,1
TV,XD,1,3,1
P2P,XD,0,2,3
CRI,AZT,1,3,2
MF,XD,1,3,1
REE,AZT,0,1,3
P2P,IH,1,3,2
CRI,TV,1,3,1
MF,AZT,1,3,1
XD,IH,1,3,2
REE,TV,0,1,3
P2P,CRI,0,1,3
MF,IH,0.5,1,1
AZT,TV,0.5,1,1
XD,CRI,0.5,1,1
REE,P2P,0.5,1,1
MF,TV,0.5,1,1
IH,CRI,0.5,1,1
AZT,P2P,0.5,1,1
XD,REE,0.5,1,1
MF,CRI,0.5,1,1
TV,P2P,0.5,1,1
IH,REE,0.5,1,1
AZT,XD,0.5,1,1
AZT,IH,0.5,1,1
XD,TV,0.5,1,1
REE,CRI,0.5,1,1
P2P,MF,0.5,1,1
IH,TV,0.5,1,1
AZT,CRI,0.5,1,1
XD,P2P,0.5,1,1
REE,MF,0.5,1,1
CRI,P2P,0.5,1,1
TV,REE,0.5,1,1
IH,XD,0.5,1,1
AZT,MF,0.5,1,1
P2P,REE,0.5,1,1
CRI,XD,0.5,1,1
TV,AZT,0.5,1,1
IH,MF,0.5,1,1
TV,CRI,0.5,1,1
IH,P2P,0.5,1,1
AZT,REE,0.5,1,1
XD,MF,0.5,1,1
REE,XD,0.5,1,1
P2P,AZT,0.5,1,1
CRI,IH,0.5,1,1
TV,MF,0.5,1,1
XD,AZT,0.5,1,1
REE,IH,0.5,1,1
P2P,TV,0.5,1,1
MF,P2P,0.5,1,1
TV,IH,0.5,1,1
IH,AZT,0.5,1,1
MF,REE,0.5,1,1
CRI,MF,0.5,1,1